SSBB,MLBAM,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
293,641627,Sea,Trevor,Gott,,,,,,,,,,,,,,,
294,607237,KC,Amir,Garrett,,,,,,,,,,,,,,,
295,641582,ChA,Matt,Foster,,,,,,,,,,,,,,,
296,656730,Min,Trevor,Megill,,,,,,,,,,,,,,,
297,669912,Oak,Kirby,Snead,,,,,,,,,,,,,,,
298,680704,Cle,Nick,Sandlin,,,,,,,,,,,,,,,
299,676760,NYA,Ron,Marinaccio,,,,,,,,,,,,,,,
300,594580,Oak,Sam,Moll,,,,,,,,,,,,,,,
301,657044,TB,Ryan,Thompson,,,,,,,,,,,,,,,
302,650671,LAA,Jose,Quijada,,,,,,,,,,,,,,,
303,663558,Min,Jovani,Moran,,,,,,,,,,,,,,,
304,598264,Mia,Matt,Barnes,,,,,,,,,,,,,,,
305,675916,Cle,James,Karinchak,,,,,,,,,,,,,,,
306,647315,Tor,Zach,Pop,,,,,,,,,,,,,,,
307,656061,NYA,Albert,Abreu,,,,,,,,,,,,,,,
308,661527,Hou,Seth,Martinez,,,,,,,,,,,,,,,
309,606625,Tex,Reyes,Moronta,,,,,,,,,,,,,,,
310,622251,KC,Josh,Staumont,,,,,,,,,,,,,,,
311,621016,KC,Jose,Cuas,,,,,,,,,,,,,,,
312,523260,ChA,Joe,Kelly,,,,,,,,,,,,,,,
313,547973,KC,Aroldis,Chapman,,,,,,,,,,,,,,,
314,669618,Tex,Joe,Barlow,,,,,,,,,,,,,,,
315,666204,Oak,Dany,Jimenez,,,,,,,,,,,,,,,
316,676092,KC,Collin,Snider,,,,,,,,,,,,,,,
317,642546,Tex,Jonathan,Hernandez,,,,,,,,,,,,,,,
318,670090,Bos,Wyatt,Mills,,,,,,,,,,,,,,,
319,664948,StL,Anthony,Misiewicz,,,,,,,,,,,,,,,
320,672391,Bos,Kaleb,Ort,,,,,,,,,,,,,,,
321,607481,ChA,Aaron,Bummer,,,,,,,,,,,,,,,
322,663989,Bal,Nick,Vespi,,,,,,,,,,,,,,,
323,543507,Oak,Trevor,May,,,,,,,,,,,,,,,
324,542585,Det,Jose,Cisnero,,,,,,,,,,,,,,,
325,664126,TB,Pete,Fairbanks,,,,,,,,,,,,,,,
326,664076,TB,Garrett,Cleavinger,,,,,,,,,,,,,,,
327,676534,TB,Calvin,Faucher,,,,,,,,,,,,,,,
328,656986,Cin,Bennett,Sousa,,,,,,,,,,,,,,,
329,666974,Bal,Yennier,Cano,,,,,,,,,,,,,,,
330,663385,Oak,Chad,Smith,,,,,,,,,,,,,,,
331,670810,Bal,Logan,Gillaspie,,,,,,,,,,,,,,,
332,642130,Hou,Blake,Taylor,,,,,,,,,,,,,,,
333,677161,Bos,Zack,Kelly,,,,,,,,,,,,,,,
334,592848,LAA,Zack,Weiss,,,,,,,,,,,,,,,
335,657424,Hou,Matt,Gage,,,,,,,,,,,,,,,
336,592454,NYA,Tommy,Kahnle,,,,,,,,,,,,,,,
337,669711,NYA,Greg,Weissert,,,,,,,,,,,,,,,
338,665896,LAA,Jose,Marte,,,,,,,,,,,,,,,
339,623437,Sea,Justin,Topa,,,,,,,,,,,,,,,
340,656786,Hou,Parker,Mushinski,,,,,,,,,,,,,,,
341,650382,Bal,Darwinzon,Hernandez,,,,,,,,,,,,,,,
342,669854,Hou,Ronel,Blanco,,,,,,,,,,,,,,,
343,681464,ChA,Franklin,German,,,,,,,,,,,,,,,
344,660600,Hou,Enoli,Paredes,,,,,,,,,,,,,,,
345,660896,Min,Jorge,Alcala,,,,,,,,,,,,,,,
